	Y	C	I
1947-01-01	10.55185374	8.924	1.5235883
1947-04-01	10.46971973	9.032	1.400556367
1947-07-01	10.3936822	9.02	1.353148862
1947-10-01	10.59296316	8.981	1.607502653
1948-01-01	10.70951005	8.989	1.765299329
1948-04-01	10.77553336	9.058	1.86711236
1948-07-01	10.73444913	9.032	1.878124979
1948-10-01	10.56174165	9.062	1.780003658
1949-01-01	10.21376826	9.037	1.507595073
1949-04-01	9.951742393	9.139	1.301974511
1949-07-01	10.03247149	9.121	1.403900057
1949-10-01	9.940825881	9.212	1.328787283
1950-01-01	10.52349688	9.327	1.637492871
1950-04-01	10.85472413	9.448	1.8063495
1950-07-01	11.44577655	9.89	1.953182473
1950-10-01	11.40994904	9.549	2.191486853
1951-01-01	11.12768525	9.739	1.959430104
1951-04-01	10.73943159	9.426	1.996894127
1951-07-01	10.44476425	9.493	1.841388009
1951-10-01	10.12628747	9.503	1.686663148
1952-01-01	10.0777812	9.486	1.723662615
1952-04-01	9.862242715	9.634	1.587488106
1952-07-01	9.871994761	9.639	1.665358912
1952-10-01	10.2535098	9.933	1.777195448
1953-01-01	10.32031102	10.013	1.8087013
1953-04-01	10.27645137	10.036	1.812295803
1953-07-01	10.20589284	9.966	1.766294117
1953-10-01	9.91993227	9.853	1.631017374
1954-01-01	9.971158137	9.847	1.612410741
1954-04-01	10.16670268	9.935	1.60210022
1954-07-01	10.43809723	10.023	1.671697464
1954-10-01	10.74498545	10.184	1.736552433
1955-01-01	11.17306521	10.369	1.902127841
1955-04-01	11.46454047	10.525	2.009735297
1955-07-01	11.6085489	10.607	2.031362462
1955-10-01	11.77334319	10.688	2.068381615
1956-01-01	11.65842055	10.662	2.001029268
1956-04-01	11.63912199	10.654	1.977251055
1956-07-01	11.62021795	10.628	1.950419106
1956-10-01	11.70136233	10.721	1.922716863
1957-01-01	11.63624451	10.748	1.884458078
1957-04-01	11.58107673	10.723	1.874869052
1957-07-01	11.64973374	10.759	1.909256691
1957-10-01	11.31904047	10.715	1.754484767
1958-01-01	10.88055864	10.527	1.630009707
1958-04-01	10.80171992	10.573	1.591058488
1958-07-01	11.10856645	10.702	1.705765032
1958-10-01	11.335505	10.798	1.842704578
1959-01-01	11.68326848	10.949	1.934755318
1959-04-01	11.96202618	11.075	2.077209481
1959-07-01	11.87185107	11.143	1.934804289
1959-10-01	11.92051294	11.106	1.988954832
1960-01-01	12.35527189	11.147	2.176066117
1960-04-01	12.11710024	11.22	1.961413739
1960-07-01	12.00005516	11.119	1.946718441
1960-10-01	11.67979716	11.09	1.724232086
1961-01-01	11.66988622	11.048	1.763023314
1961-04-01	11.9112345	11.17	1.879320595
1961-07-01	12.07612586	11.177	2.016995921
1961-10-01	12.2458652	11.353	2.041596807
1962-01-01	12.41075596	11.433	2.14402893
1962-04-01	12.50486297	11.533	2.11969732
1962-07-01	12.53988209	11.581	2.147379177
1962-10-01	12.50680413	11.698	2.076177536
1963-01-01	12.76321701	11.741	2.178227181
1963-04-01	12.93297195	11.814	2.205769007
1963-07-01	13.02205863	11.928	2.264988319
1963-10-01	13.17079564	11.981	2.28368582
1964-01-01	13.52596961	12.179	2.36180965
1964-04-01	13.64262372	12.355	2.345860305
1964-07-01	13.90192244	12.537	2.391920148
1964-10-01	13.91893769	12.529	2.406104552
1965-01-01	14.38490802	12.773	2.628308704
1965-04-01	14.53237214	12.879	2.628055507
1965-07-01	14.73268532	13.056	2.710434787
1965-10-01	15.05145459	13.38	2.719555098
1966-01-01	15.41951748	13.544	2.929573004
1966-04-01	15.32199392	13.543	2.878645995
1966-07-01	15.26944742	13.656	2.848702489
1966-10-01	15.28083714	13.671	2.856634309
1967-01-01	15.12847091	13.716	2.779685503
1967-04-01	15.13756267	13.869	2.672535335
1967-07-01	15.22525777	13.901	2.743201415
1967-10-01	15.29656465	13.947	2.794510252
1968-01-01	15.59521988	14.251	2.844506113
1968-04-01	15.91125556	14.435	2.946575739
1968-07-01	16.02898053	14.666	2.858445648
1968-10-01	16.07295895	14.692	2.88178408
1969-01-01	16.39742022	14.825	3.045178381
1969-04-01	16.45861307	14.886	3.020299478
1969-07-01	16.55728967	14.917	3.073009961
1969-10-01	16.49597218	14.992	2.916039571
1970-01-01	16.45684662	15.048	2.822109307
1970-04-01	16.52984305	15.069	2.819471378
1970-07-01	16.66343912	15.15	2.855617056
1970-10-01	16.342871	15.056	2.694678116
1971-01-01	17.05264965	15.298	2.999627593
1971-04-01	17.15291616	15.394	3.075833566
1971-07-01	17.30598077	15.47	3.103600962
1971-10-01	17.36280806	15.678	3.010731301
1972-01-01	17.73408976	15.847	3.201451645
1972-04-01	18.2309993	16.11	3.375305886
1972-07-01	18.56516526	16.316	3.414380938
1972-10-01	18.88721487	16.655	3.426726204
1973-01-01	19.42983162	16.923	3.619729914
1973-04-01	19.72837482	16.877	3.765627436
1973-07-01	19.62275968	16.895	3.620054573
1973-10-01	19.77502962	16.803	3.739887545
1974-01-01	19.37410858	16.619	3.519104455
1974-04-01	19.35937866	16.643	3.497542158
1974-07-01	19.04420328	16.672	3.307830602
1974-10-01	18.85824872	16.386	3.319333954
1975-01-01	18.42257652	16.49	2.779027123
1975-04-01	18.62460817	16.721	2.689828984
1975-07-01	18.87621654	16.909	2.889823338
1975-10-01	19.11588301	17.046	2.962831108
1976-01-01	19.65959855	17.35	3.241737762
1976-04-01	19.89925887	17.472	3.36289582
1976-07-01	20.0187141	17.611	3.365928056
1976-10-01	20.16788098	17.792	3.382140263
1977-01-01	20.38285626	17.96	3.530609269
1977-04-01	20.80451999	18.014	3.774623106
1977-07-01	21.22404374	18.134	3.954536593
1977-10-01	21.18200641	18.354	3.844390396
1978-01-01	21.22153266	18.414	3.91016106
1978-04-01	22.08523446	18.76	4.153598373
1978-07-01	22.24818219	18.784	4.262114626
1978-10-01	22.51513756	18.88	4.348000519
1979-01-01	22.58698562	18.93	4.344168243
1979-04-01	22.48730739	18.868	4.328957849
1979-07-01	22.61990613	18.994	4.243197083
1979-10-01	22.57557813	18.983	4.155043628
1980-01-01	22.49570019	18.902	4.115036559
1980-04-01	21.79784422	18.425	3.754623135
1980-07-01	21.80194239	18.572	3.496343228
1980-10-01	22.29039875	18.772	3.811871144
1981-01-01	22.7276385	18.796	4.156217407
1981-04-01	22.43738952	18.755	3.974960161
1981-07-01	22.76120816	18.791	4.187567575
1981-10-01	22.27656202	18.613	4.029570859
1982-01-01	21.77399252	18.711	3.640653428
1982-04-01	21.83090994	18.726	3.629871586
1982-07-01	21.60206109	18.804	3.587450215
